id,uuid,Title,Description,Tags,Creator,Source,Language,Font,License
0065,0acc3beb-aea7-4c4d-b97a-e44ae657806e,Paleogeography - 260 Ma,World map (Mollweide Projection) showing the positions of the continents 260 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0066,d19bb7bd-9f1a-4694-80c4-1678fb8273a7,Paleogeography - 280 Ma,World map (Mollweide Projection) showing the positions of the continents 280 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0067,062d75d9-cd23-4200-b451-122dd5355c51,Paleogeography - 300 Ma,World map (Mollweide Projection) showing the positions of the continents 300 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0068,b338f8e3-1131-442d-a84f-98be68654c8b,Paleogeography - 320 Ma,World map (Mollweide Projection) showing the positions of the continents 320 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0069,e62c679e-929c-4ab2-a0b2-144471034a83,Paleogeography - 340 Ma,World map (Mollweide Projection) showing the positions of the continents 340 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0070,d4f613f2-2ade-4694-9612-d05f923fd649,Paleogeography - 360 Ma,World map (Mollweide Projection) showing the positions of the continents 360 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0071,b9b9f66a-c876-4312-85da-6d035fe44e2b,Paleogeography - 380 Ma,World map (Mollweide Projection) showing the positions of the continents 380 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0072,da8784a6-1850-499b-ba13-803aa1715d33,Paleogeography - 400 Ma,World map (Mollweide Projection) showing the positions of the continents 400 million years ago,"plate tectonics, geologic time, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.axios.com/supercontinent-breakup-drove-evolution-2407903317.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0073,94f53e9b-8f88-4189-8629-368fe4d5df95,Age of Seafloor,Map of seafloor age,"plate tectonics, maps","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",http://www.cev.washington.edu/file/Age_of_Seafloor.html ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0074,8ff0f59b-3fa6-4827-a763-5854e12b3a77,Metamorphic Foliation,2-D diagram illustrating foliation in a metamorphic rock,metamorphic rocks and processes,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0075,108bd28a-433a-49b2-b544-27d2f76498b2,Sedimentary Sorting,diagram showing various degrees of sorting of sedimentary clasts,sedimentary materials and processes,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu","based on Fig. 7.5 (c) in Marshak, 2019, Earth: Portrait of a Planet, 6th edition",Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0076,90de8c39-6a60-494a-9520-b0ceec0daabb,Soil Horizons,"2-D cross-sectional diagram showing soil horizons (O, A, E, B, and C) and underlying bedrock",soils,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu","modified from Fig. B.11 (b) in Marshak, 2019, Earth: Portrait of a Planet, 6th edition and https://www.soils4teachers.org/soil-horizons",Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0077,1c173e9f-3596-418c-bd5f-63ae4bc6c0c5,Geologic Map of Kentucky,Information from the geologic map of Kentucky: geologic map and legend,"maps, geologic time, structures","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.uky.edu/KGS/geoky/index.htm ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0078,e9daa500-05df-46a8-898a-b3183bab1bd8,Major Cities in Kentucky,Information from the geologic map of Kentucky: major cities in Kentucky,"maps, geologic time","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.uky.edu/KGS/geoky/index.htm ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0079,25d314a0-2107-454f-b667-9aed2aff70e3,Faults in Kentucky,Information from the geologic map of Kentucky: faults,"maps, geologic time, structures","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.uky.edu/KGS/geoky/index.htm ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0080,e81bdfaf-4b81-4b25-9e90-72a113bfc6bd,Kentucky Geologic Cross-Section A-B,Information from the geologic map of Kentucky: cross-section A-B,"maps, geologic time, structures","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.uky.edu/KGS/geoky/index.htm ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0081,2b1ca6e9-96f2-423c-a742-1a691b1b65dc,Kentucky Geologic Cross-Section C-D,Information from the geologic map of Kentucky: cross-section C-D,"maps, geologic time, structures","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.uky.edu/KGS/geoky/index.htm ,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0082,2f698bd0-4b74-4e3a-baa6-d18368ffa96e,Grand Canyon - Paleozoic Units,2-D simplified geologic cross-section showing Paleozoic sedimentary strata of the Grand Canyon,"historical geology, stratigraphy, geologic time","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://azgs.arizona.edu/photo/grand-canyon-stratigraphy,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0083,d794c87d-00dd-42c7-ab27-88aefb0de320,Grand Canyon - Precambrian Units,2-D simplified geologic cross-section showing Precambrian rocks (and the overlying lowermost Paleozoic strata) of the Grand Canyon ,"historical geology, stratigraphy, geologic time","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://azgs.arizona.edu/photo/grand-canyon-stratigraphy,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
